facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
Reliance Refinery,2026-03-13,1,0.99,0.99,0.99,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,NATURAL,SHRUBLAND,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,5,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-16,1,2.39,2.39,2.39,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,6,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-19,2,1.98,1.49,2.98,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,21.0,0.0,60.0,0.0,7,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,detection count is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-21,2,7.8,4.965,9.93,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Reliance Refinery,refinery,industrial,WATCH,45.0,100.0,0.0,0.0,8,RECURRING,48,0.2727,2.0,17.0,4,LOW,No strong mapped industrial association; WorldCover=CROPLAND,peak FRP is well above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-26,1,2.15,2.15,2.15,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,9,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-27,1,3.15,3.15,3.15,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,10,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-28,1,2.96,2.96,2.96,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,11,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-30,1,3.81,3.81,3.81,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,26.9,59.77,0.0,0.0,12,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-03-31,1,2.98,2.98,2.98,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,13,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-04-06,2,2.21,1.915,3.83,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,21.0,0.0,60.0,0.0,14,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,detection count is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-04-22,1,3.21,3.21,3.21,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,15,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-05-03,1,8.14,8.14,8.14,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Reliance Refinery,refinery,industrial,WATCH,45.0,100.0,0.0,0.0,16,RECURRING,48,0.2727,2.0,17.0,4,MEDIUM,Thermal point is 0.643 km from mapped industrial feature: Reliance Refinery; WorldCover=CROPLAND,peak FRP is well above the site's previous range,Reliance Refinery: industrial-associated thermal activity shows a watch-level deviation from historical behaviour.
Reliance Refinery,2026-05-05,1,4.16,4.16,4.16,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,17.89,39.77,0.0,0.0,17,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-05-06,1,2.09,2.09,2.09,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OTHER,BARE_SPARSE_VEGETATION,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,18,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BARE_SPARSE_VEGETATION,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-05-14,1,3.59,3.59,3.59,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,12.11,26.91,0.0,0.0,19,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-05-23,1,1.97,1.97,1.97,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,20,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-05-29,1,1.95,1.95,1.95,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,21,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-03,1,2.16,2.16,2.16,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,22,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-06,1,3.51,3.51,3.51,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,13.62,30.26,0.0,0.0,23,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-08,1,4.54,4.54,4.54,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,28.64,63.65,0.0,0.0,24,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,peak FRP is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-09,2,16.63,15.614999999999998,31.229999999999997,INDUSTRIAL_ASSOCIATED,HIGH,MEDIUM,BUILT_UP,BUILT_UP,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Reliance Refinery,refinery,industrial,WATCH,66.0,100.0,60.0,0.0,25,RECURRING,48,0.2727,2.0,17.0,4,MEDIUM,Thermal point is 0.032 km from mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,peak FRP is well above the site's previous range; detection count is above the site's previous range,Reliance Refinery: industrial-associated thermal activity shows a watch-level deviation from historical behaviour.
Reliance Refinery,2026-06-12,1,2.24,2.24,2.24,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,26,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-14,1,3.86,3.86,3.86,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,12.43,27.61,0.0,0.0,27,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-15,1,3.97,3.97,3.97,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OTHER,BARE_SPARSE_VEGETATION,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,12.62,28.04,0.0,0.0,28,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BARE_SPARSE_VEGETATION,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-17,2,3.47,2.745,5.49,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OTHER,BARE_SPARSE_VEGETATION,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,21.57,0.0,60.0,2.87,29,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BARE_SPARSE_VEGETATION,detection count is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-19,1,3.09,3.09,3.09,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,1.26,0.0,0.0,6.3,30,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-20,1,4.58,4.58,4.58,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,28.98,60.29,0.0,9.25,31,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,peak FRP is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-22,1,3.85,3.85,3.85,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,2.5,0.0,0.0,12.5,32,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-23,2,2.99,2.79,5.58,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,23.3,0.0,60.0,11.52,33,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,detection count is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-25,1,4.65,4.65,4.65,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,30.21,60.61,0.0,14.67,34,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,peak FRP is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-27,2,3.08,3.065,6.13,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OTHER,PERMANENT_WATER_BODIES,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,24.56,0.0,60.0,17.78,35,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=PERMANENT_WATER_BODIES,detection count is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-28,1,1.18,1.18,1.18,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,4.07,0.0,0.0,20.37,36,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-06-29,2,4.19,3.955,7.91,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,WATCH,43.07,40.44,60.0,19.37,37,RECURRING,48,0.2727,2.0,17.0,4,MEDIUM,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,detection count is above the site's previous range,Reliance Refinery: industrial-associated thermal activity shows a watch-level deviation from historical behaviour.
Reliance Refinery,2026-06-30,2,4.4,4.03,8.06,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,WATCH,48.01,50.31,60.0,21.87,38,RECURRING,48,0.2727,2.0,17.0,4,MEDIUM,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,detection count is above the site's previous range,Reliance Refinery: industrial-associated thermal activity shows a watch-level deviation from historical behaviour.
Reliance Refinery,2026-07-08,1,3.26,3.26,3.26,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,4.1,0.0,0.0,20.51,39,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-07-16,1,4.27,4.27,4.27,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OTHER,BARE_SPARSE_VEGETATION,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,21.23,43.79,0.0,7.61,40,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BARE_SPARSE_VEGETATION,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-07-18,1,5.78,5.78,5.78,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,32.63,69.32,0.0,7.21,41,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,peak FRP is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-08-04,1,1.84,1.84,1.84,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,42,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-08-09,2,1.23,1.145,2.29,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,21.0,0.0,60.0,0.0,43,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,detection count is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-08-14,1,2.08,2.08,2.08,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,0.0,0.0,0.0,0.0,44,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,thermal behaviour is within the site's previous historical range,Reliance Refinery: thermal behaviour is currently within the available historical context.
Reliance Refinery,2026-08-24,1,7.01,7.01,7.01,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OTHER,BARE_SPARSE_VEGETATION,OSM_FEATURE_INTERSECTION,HIGH,Reliance Refinery,refinery,industrial,NORMAL,36.68,81.52,0.0,0.0,45,RECURRING,48,0.2727,2.0,17.0,4,LOW,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BARE_SPARSE_VEGETATION,peak FRP is above the site's previous range,Reliance Refinery: thermal behaviour is currently within the available historical context.
